x,45-50,40-45,35-40,30-35,25-30,20-25,18-20,16-18,12-16
20.6382,14.0583,11.3344,9.2319,8.3424,7.4193,5.9924,2.9031,0.646,0.1785
20.6658,14.1197,11.4019,9.2142,8.3597,7.4477,6.0217,2.9227,0.655,0.1786
20.7175,14.2482,11.5308,9.2767,8.3963,7.5066,6.0771,2.9621,0.6724,0.1789
20.7178,14.249,11.5315,9.2772,8.3965,7.5069,6.0774,2.9623,0.6724,0.1789
20.7448,14.3234,11.5996,9.3293,8.4184,7.5407,6.1065,2.984,0.6816,0.1791
20.7688,14.3932,11.6604,9.3787,8.44,7.5725,6.1325,3.0039,0.6898,0.1792
20.8749,14.729,11.9312,9.6099,8.5689,7.7293,6.2484,3.097,0.7267,0.1798
21.1899,15.8226,12.7298,10.3156,9.3503,8.2687,6.6017,3.3897,0.8473,0.1815
21.2166,15.9169,12.7953,10.3736,9.4177,8.3124,6.6322,3.4133,0.859,0.1816
21.2408,16.0021,12.8543,10.4256,9.4747,8.3508,6.6599,3.4342,0.87,0.1818
21.2419,16.0061,12.857,10.428,9.4773,8.3525,6.6612,3.4352,0.8705,0.1818
21.2678,16.0972,12.9197,10.4829,9.5334,8.3918,6.6909,3.457,0.8826,0.1819
21.3204,16.2821,13.0466,10.5921,9.6313,8.466,6.7515,3.5002,0.9091,0.1822
21.3975,16.5535,13.2342,10.7477,9.7387,8.5629,6.8411,3.5616,0.9553,0.1826
21.6354,17.3983,13.8806,11.2279,9.9542,8.8326,7.1222,3.755,1.1406,0.184
21.6605,17.4893,13.9599,11.2824,9.9752,8.8624,7.1524,3.7773,1.1564,0.1841
21.7136,17.6837,14.1341,11.4018,10.0223,8.9274,7.2166,3.8269,1.1879,0.1844
21.7146,17.6874,14.1375,11.4042,10.0233,8.9287,7.2179,3.8279,1.1885,0.1844
21.8433,18.1761,14.575,11.715,10.1687,9.0989,7.3765,3.9653,1.2578,0.1851
21.8442,18.1793,14.5778,11.7171,10.1699,9.1,7.3776,3.9663,1.2583,0.1851
21.8967,18.3872,14.7535,11.8497,10.2509,9.1744,7.4438,4.0313,1.2846,0.1854
21.9477,18.5931,14.9183,11.9802,10.3471,9.2487,7.5089,4.0988,1.3094,0.1857
22.1071,19.2562,15.3856,12.3939,10.7512,9.4918,7.7215,4.3287,1.3835,0.1866
22.134,19.3694,15.456,12.4636,10.8302,9.534,7.759,4.3687,1.3956,0.1867
22.2377,19.8091,15.7103,12.7297,11.1428,9.7002,7.9106,4.5209,1.4416,0.1873
22.2631,19.9173,15.7694,12.7938,11.2171,9.7416,7.9491,4.5572,1.4528,0.1874
22.3684,20.3672,16.0054,13.0539,11.4903,9.9159,8.1055,4.6991,1.4984,0.188
22.4197,20.5871,16.117,13.1781,11.5941,10.0023,8.1765,4.762,1.5203,0.1883
22.605,21.3867,16.5365,13.6239,11.862,10.3227,8.4162,4.9543,1.5982,0.1893
22.6561,21.6092,17.0598,13.7487,11.9249,10.4137,8.4803,4.9998,1.6194,0.1896
22.6575,21.6153,17.0676,13.7521,11.9267,10.4161,8.482,5.001,1.6199,0.1896
22.7093,21.8426,17.308,13.8806,11.9934,10.5098,8.5466,5.0447,1.6413,0.1899
22.7106,21.8482,17.3133,13.8838,11.9951,10.5122,8.5482,5.0458,1.6418,0.1899
22.7612,22.0718,17.51,14.011,12.0665,10.605,8.6108,5.0863,1.6625,0.1902
22.84,22.4248,17.7888,14.212,12.1985,10.753,8.7082,5.1461,1.6946,0.1906
23.0485,23.3702,18.4371,14.747,12.6794,11.1589,8.9652,5.2932,1.7781,0.1918
23.1038,23.6188,18.5923,14.8875,12.8207,11.2666,9.0335,5.3316,1.8,0.1921
23.1292,23.7323,18.6611,14.9514,12.885,11.3152,9.0649,5.3493,1.81,0.1922
23.2334,24.1955,18.929,15.2085,13.1358,11.5042,9.1938,5.424,1.8508,0.1928
23.3376,24.6561,19.1791,15.4547,13.3488,11.6673,9.3233,5.5032,1.891,0.1934
23.3379,24.6573,19.1797,15.4553,13.3493,11.6677,9.3236,5.5035,1.8911,0.1934
23.5986,25.8025,19.8046,16.0486,13.7001,11.9695,9.6517,5.7358,1.9892,0.1948
23.6009,25.8124,19.812,16.0538,13.7026,11.9717,9.6546,5.7381,1.99,0.1948
23.6517,26.0343,20.3356,16.1712,13.7579,12.022,9.7196,5.7901,2.0085,0.1951
23.6534,26.0419,20.3432,16.1752,13.7598,12.0237,9.7218,5.7918,2.0091,0.1951
23.6766,26.1433,20.4365,16.2296,13.7853,12.0465,9.7518,5.8162,2.0175,0.1953
23.7067,26.2746,20.5443,16.3007,13.8189,12.0759,9.7908,5.8483,2.0283,0.1954
23.7313,26.3817,20.6267,16.3593,13.8471,12.0999,9.8228,5.8747,2.037,0.1956
23.8881,27.0677,21.105,16.741,14.0575,12.2589,10.0303,6.0452,2.0906,0.1965
23.914,27.1834,21.18,16.8046,14.0999,12.2869,10.0651,6.0731,2.0991,0.1966
24.0999,28.0452,21.7051,17.2552,14.4609,12.5078,10.3166,6.2639,2.1541,0.1976
24.1513,28.29,21.8481,17.3759,14.571,12.574,10.3852,6.3118,2.1667,0.1979
24.2012,28.5288,21.9868,17.4904,14.6784,12.6401,10.4502,6.3554,2.1771,0.1982
24.2542,28.7839,22.1344,17.6084,14.7904,12.7121,10.5163,6.3983,2.1862,0.1985
