x,40-45,35-40,30-35,25-30,20-25,18-20,16-18,12-16
43.13336,4.7412,3.7914,3.2431,2.6229,1.7454,0.8047,0.4196,0.0941
43.17506,4.7952,3.8226,3.1934,2.6603,1.7597,0.7973,0.4214,0.1153
43.18334,4.8064,3.8277,3.1873,2.6679,1.763,0.794,0.4218,0.1184
43.30021,4.9682,3.865,3.2036,2.7662,1.8152,0.7247,0.4267,0.128
43.31685,4.9869,3.8699,3.2161,2.777,1.8228,0.7162,0.4274,0.1264
43.31695,4.987,3.8699,3.2161,2.7771,1.8228,0.7161,0.4274,0.1264
43.32522,4.9955,3.873,3.2229,2.7821,1.8266,0.7124,0.4278,0.1255
43.33361,5.0036,3.8765,3.2301,2.787,1.8303,0.709,0.4281,0.1246
43.38366,5.0466,3.9064,3.2786,2.8113,1.8521,0.6961,0.4303,0.1189
43.39194,5.0531,3.9125,3.2872,2.8147,1.8556,0.6951,0.4306,0.1182
43.50881,5.1494,4.0148,3.4044,2.8513,1.9023,0.71,0.4356,0.1153
43.51721,5.1575,4.0228,3.4111,2.8536,1.9055,0.7129,0.4359,0.1155
43.52545,5.1659,4.0308,3.4174,2.8558,1.9086,0.7159,0.4363,0.1157
43.53382,5.1746,4.039,3.4233,2.8582,1.9117,0.7192,0.4366,0.1159
43.54222,5.1837,4.0471,3.4287,2.8605,1.9148,0.7226,0.437,0.1162
43.59227,5.2432,4.0952,3.4491,2.8758,1.9335,0.7455,0.4391,0.1177
43.60054,5.2538,4.1029,3.4502,2.8786,1.9367,0.7495,0.4395,0.1179
43.71742,5.4135,4.1994,3.4505,2.9365,1.9886,0.7975,0.4444,0.1185
43.71747,5.4136,4.1995,3.4505,2.9365,1.9886,0.7975,0.4444,0.1185
43.73405,5.4361,4.2116,3.4588,2.9484,1.9969,0.8011,0.4451,0.1184
43.73408,5.4361,4.2116,3.4588,2.9484,1.9969,0.8011,0.4451,0.1184
43.74248,5.4474,4.2177,3.4649,2.9547,2.0012,0.8024,0.4454,0.1183
43.79252,5.5133,4.2531,3.5343,2.9964,2.0271,0.8049,0.4475,0.1178
43.80913,5.5347,4.2647,3.5728,3.0113,2.0359,0.8042,0.4482,0.1177
43.91767,5.6695,4.3418,3.914,3.1071,2.0937,0.7992,0.4528,0.1171
43.91773,5.6696,4.3419,3.9142,3.1071,2.0938,0.7992,0.4528,0.1171
43.93431,5.6893,4.3542,3.96,3.1194,2.1026,0.8009,0.4535,0.1171
43.98445,5.7473,4.3928,4.0466,3.1502,2.1291,0.8143,0.4556,0.1171
44.0595,5.8309,4.4573,3.992,3.1816,2.1674,0.852,0.4587,0.1173
44.06781,5.8401,4.4653,3.977,3.1843,2.1714,0.8568,0.459,0.1173
44.06793,5.8402,4.4654,3.9768,3.1844,2.1715,0.8569,0.459,0.1173
44.07614,5.8494,4.4735,3.9611,3.187,2.1754,0.8617,0.4594,0.1174
44.07624,5.8495,4.4736,3.9609,3.1871,2.1755,0.8617,0.4594,0.1174
44.0929,5.8681,4.4908,3.9275,3.1923,2.1833,0.8716,0.4601,0.1175
44.11788,5.8966,4.5187,3.8772,3.1999,2.1947,0.886,0.4611,0.1176
44.17635,5.9672,4.5948,3.7901,3.2191,2.2189,0.9171,0.4635,0.118
44.2681,6.0961,4.7203,3.8088,3.2616,2.2525,0.9554,0.4673,0.1175
44.26819,6.0962,4.7204,3.8089,3.2616,2.2526,0.9554,0.4673,0.1175
44.2764,6.1093,4.7295,3.8172,3.2666,2.2556,0.9581,0.4676,0.1173
44.2765,6.1095,4.7296,3.8173,3.2666,2.2556,0.9581,0.4676,0.1173
44.28474,6.1229,4.7381,3.8264,3.2719,2.2588,0.9607,0.4679,0.1171
44.29316,6.1368,4.7464,3.8363,3.2775,2.262,0.9631,0.4683,0.1169
44.32648,6.1943,4.7756,3.8799,3.3022,2.2749,0.9712,0.4696,0.1158
