x,Over 80 D1,75-80,70-75,40-45,35-40,30-35,25-30,20-25,18-20,16-18,12-16
5.722,63.3796,20.9925,5.3572,4.3535,3.9938,3.6501,3.0247,2.2505,0.9493,0.1892,0.0332
5.7479,63.8189,21.7379,5.5646,4.3985,4.0331,3.6885,3.0639,2.2795,0.9516,0.1904,0.0333
5.7738,64.2489,22.4824,5.7847,4.4439,4.072,3.7268,3.1044,2.3086,0.9539,0.1915,0.0334
5.8514,65.6055,24.7082,6.5229,4.5841,4.1867,3.8416,3.2346,2.3962,0.9614,0.195,0.0338
5.9032,66.6862,25.8602,7.0738,4.6812,4.2616,3.9176,3.329,2.4548,0.9675,0.1975,0.034
5.955,67.9242,27.0269,7.6447,4.7816,4.3354,3.9932,3.4293,2.5136,0.9747,0.2001,0.0342
6.0327,69.6547,29.3454,8.4288,4.9396,4.4441,4.1054,3.5881,2.6018,0.9881,0.2044,0.0345
6.0586,70.1501,30.1377,8.6639,4.9945,4.4799,4.1425,3.642,2.6311,0.9933,0.2059,0.0346
6.1104,71.0657,31.664,9.1103,5.1075,4.5508,4.2159,3.7479,2.6899,1.0046,0.2091,0.0349
6.188,72.4688,33.9826,9.7781,5.2838,4.6557,4.3242,3.8929,2.7778,1.0245,0.2145,0.0352
6.2139,73.0946,34.7258,10.0087,5.3431,4.6903,4.3597,3.9357,2.8071,1.0319,0.2165,0.0353
6.2657,74.2772,36.2085,10.4817,5.4581,4.7591,4.4299,4.0122,2.8654,1.0478,0.2206,0.0355
6.2916,74.7874,37.0156,10.7237,5.5124,4.7933,4.4645,4.0468,2.8944,1.0564,0.2229,0.0356
6.3434,75.7477,38.5271,11.2186,5.6119,4.8614,4.5326,4.1107,2.9523,1.0749,0.2276,0.0358
6.4497,77.5838,41.542,12.2951,5.7871,5.0002,4.6677,4.2274,3.0698,1.1185,0.2387,0.0363
6.4824,78.1157,42.4626,12.6517,5.8351,5.0426,4.7078,4.2611,3.1054,1.1335,0.2424,0.0364
6.5028,78.4404,43.0382,12.8868,5.8642,5.0691,4.7324,4.2818,3.1275,1.1433,0.2449,0.0365
6.5052,78.4787,43.1068,12.9157,5.8676,5.0723,4.7353,4.2843,3.1302,1.1445,0.2452,0.0365
6.5246,78.7808,43.6549,13.1554,5.8946,5.0975,4.7585,4.304,3.1511,1.1541,0.2476,0.0366
6.6023,79.9155,45.8539,14.431,5.9982,5.1985,4.849,4.3831,3.2337,1.1955,0.2576,0.0369
6.6282,80.2596,46.5953,14.9722,6.0316,5.2321,4.8784,4.41,3.2607,1.2102,0.261,0.037
6.6541,80.5803,47.3536,15.456,6.0647,5.2658,4.9074,4.4373,3.2873,1.2252,0.2645,0.0371
6.68,80.8755,48.1724,15.9109,6.0974,5.2994,4.9362,4.4653,3.3137,1.2406,0.2681,0.0373
6.7317,81.3845,49.7347,16.8135,6.1624,5.3665,4.9927,4.5236,3.3653,1.2722,0.2753,0.0375
6.7576,81.5981,50.491,17.2909,6.1947,5.4001,5.0205,4.5542,3.3906,1.2883,0.279,0.0376
6.7835,81.7863,51.2342,17.8133,6.227,5.4336,5.048,4.5859,3.4155,1.3046,0.2826,0.0377
6.8353,82.1037,52.7169,18.9611,6.2915,5.5004,5.1025,4.6529,3.4642,1.3375,0.2899,0.0379
6.8612,82.2472,53.4808,19.5168,6.3238,5.5338,5.1294,4.6881,3.4879,1.3541,0.2936,0.038
6.8871,82.3931,54.2566,20.0292,6.3561,5.5671,5.1561,4.7241,3.5113,1.3706,0.2972,0.0381
6.913,82.5494,55.0355,20.5097,6.3885,5.6003,5.1826,4.761,3.5343,1.3872,0.3008,0.0382
6.9907,83.0764,57.3541,21.8355,6.4865,5.6998,5.2613,4.8752,3.6012,1.4361,0.3113,0.0386
7.0683,83.6508,59.6727,23.0979,6.586,5.7987,5.3392,4.9924,3.6655,1.4829,0.3213,0.0389
7.1201,84.0421,61.2136,24.0615,6.6535,5.8643,5.3908,5.0705,3.7076,1.5123,0.3276,0.0391
7.146,84.2381,61.9913,24.6312,6.6878,5.8971,5.4166,5.1091,3.7288,1.5263,0.3306,0.0392
7.1719,84.4338,62.7768,25.2423,6.7225,5.9298,5.4424,5.1473,3.7502,1.5397,0.3335,0.0393
7.2237,84.823,64.3098,26.3801,6.7934,5.995,5.494,5.2218,3.7951,1.565,0.3389,0.0395
7.2755,85.2066,65.7664,27.144,6.867,6.06,5.5459,5.2931,3.845,1.5887,0.3439,0.0398
7.3014,85.3954,66.5357,27.5756,6.9054,6.0924,5.572,5.3272,3.8729,1.6002,0.3461,0.0399
7.3531,85.766,68.1627,28.6061,6.9863,6.1571,5.6244,5.3916,3.9353,1.6225,0.3502,0.0401
7.379,85.9472,68.8543,29.1788,7.0293,6.1894,5.6509,5.4217,3.969,1.6335,0.352,0.0402
7.4855,86.6579,71.5224,31.7241,7.2237,6.3216,5.7613,5.5303,4.1117,1.68,0.3575,0.0406
7.4891,86.6808,71.6095,31.8142,7.2306,6.3261,5.7651,5.5336,4.1164,1.6817,0.3576,0.0406
7.612,87.4107,74.437,35.0982,7.4631,6.4782,5.8972,5.6349,4.259,1.7429,0.3598,0.0412
7.6379,87.5489,74.9755,35.9384,7.5096,6.5101,5.9255,5.6539,4.2849,1.7575,0.3598,0.0413
7.6638,87.6806,75.4746,37.4168,7.5552,6.542,5.954,5.6724,4.3094,1.7727,0.3597,0.0414
7.7156,87.9234,76.3098,38.9426,7.6438,6.6057,6.0115,5.7082,4.355,1.8056,0.359,0.0416
7.7415,88.0349,76.6329,39.7354,7.6871,6.6376,6.0404,5.7256,4.3764,1.8232,0.3585,0.0417
7.7933,88.2394,77.2015,42.0539,7.7723,6.7012,6.0986,5.76,4.4175,1.8607,0.3573,0.0419
7.871,88.5057,78.3122,44.3725,7.8973,6.7965,6.1865,5.8121,4.4757,1.9207,0.355,0.0422
7.9227,88.6611,79.1227,46.5983,7.979,6.8599,6.2455,5.8482,4.513,1.9625,0.3533,0.0425
7.9486,88.7336,79.5202,47.3883,8.0194,6.8916,6.2751,5.8671,4.5313,1.9836,0.3525,0.0426
7.9745,88.8033,79.905,48.1101,8.0596,6.9233,6.3047,5.8865,4.5495,2.0047,0.3516,0.0427
8.0004,88.8707,80.2793,48.9169,8.0995,6.955,6.3343,5.9067,4.5677,2.0259,0.3508,0.0428
8.0522,89.0009,81.01,51.2354,8.1786,7.0183,6.3936,5.9491,4.6037,2.068,0.3493,0.043
8.104,89.1286,81.7462,52.7538,8.2567,7.0815,6.4528,5.9939,4.6399,2.1093,0.3481,0.0432
8.1299,89.1929,82.1363,53.554,8.2954,7.1131,6.4824,6.0171,4.6581,2.1295,0.3476,0.0433
8.1558,89.2581,82.5293,54.7053,8.3337,7.1447,6.5119,6.0408,4.6765,2.1492,0.3472,0.0434
8.1817,89.3247,82.9074,55.8726,8.3718,7.1763,6.5414,6.0649,4.6952,2.1685,0.347,0.0435
8.2593,89.5314,83.9722,58.1911,8.4837,7.2709,6.6293,6.1392,4.7535,2.2229,0.3471,0.0439
8.2852,89.6021,84.3138,59.2512,8.5202,7.3024,6.6585,6.1644,4.7743,2.2396,0.3475,0.044
8.3111,89.6733,84.6496,60.5097,8.556,7.334,6.6875,6.1899,4.7961,2.2555,0.3482,0.0441
8.337,89.745,84.9792,61.3387,8.5914,7.3655,6.7164,6.2155,4.8193,2.2705,0.349,0.0442
8.3888,89.889,85.6179,62.8283,8.6605,7.4284,6.7737,6.2669,4.8701,2.2976,0.3514,0.0444
8.4804,90.1428,86.6742,65.5891,8.7792,7.5396,6.8733,6.3574,4.9732,2.3374,0.3586,0.0448
8.4885,90.1651,86.7633,65.8334,8.7897,7.5495,6.8821,6.3654,4.9827,2.3405,0.3594,0.0448
8.57,90.3848,87.6017,68.2092,8.8969,7.6482,6.9683,6.4441,5.0722,2.3679,0.3696,0.0452
8.6218,90.5198,88.0804,69.5986,8.9677,7.7108,7.0223,6.4927,5.1226,2.3826,0.3778,0.0454
8.6477,90.5856,88.3016,70.2148,9.0041,7.7421,7.0491,6.5167,5.1459,2.3892,0.3823,0.0455
8.6736,90.6501,88.5094,70.7529,9.041,7.7733,7.0758,6.5404,5.1683,2.3956,0.387,0.0456
8.6995,90.7134,88.7027,71.198,9.0784,7.8044,7.1024,6.5639,5.1899,2.4016,0.392,0.0457
8.7254,90.7752,88.8805,71.557,9.1163,7.8355,7.129,6.5872,5.2109,2.4073,0.3973,0.0458
8.7513,90.8358,89.0434,71.9173,9.1545,7.8682,7.1556,6.6104,5.2314,2.4129,0.4027,0.0459
8.8548,91.0657,89.5683,74.1432,9.3106,7.9981,7.262,6.7021,5.3102,2.4344,0.4261,0.0463
8.9584,91.2765,89.9427,75.9922,9.4703,8.1271,7.3697,6.7929,5.386,2.4571,0.4511,0.0468
8.9843,91.3263,90.0226,76.4619,9.5108,8.1592,7.3969,6.8157,5.4046,2.4634,0.4575,0.0469
9.0879,91.5145,90.3554,78.6878,9.6745,8.2871,7.5076,6.9075,5.4788,2.4922,0.4828,0.0473
9.1137,91.5589,90.4655,79.2096,9.7159,8.319,7.5358,6.9308,5.4974,2.5004,0.4891,0.0474
9.1914,91.6853,90.9545,80.5954,9.8414,8.4141,7.6217,7.0017,5.5534,2.5275,0.5073,0.0477
9.2173,91.7252,91.1396,81.0065,9.8838,8.4457,7.6508,7.0259,5.5723,2.5375,0.5132,0.0478
9.2432,91.7641,91.312,81.3992,9.9265,8.4772,7.6802,7.0503,5.5914,2.5479,0.519,0.048
9.2691,91.8019,91.4658,81.8129,9.9695,8.5086,7.7098,7.0751,5.6108,2.5589,0.5246,0.0481
9.3209,91.8744,91.7189,83.3251,10.0569,8.5712,7.7698,7.1258,5.6509,2.5825,0.5355,0.0483
9.4672,92.0609,92.1699,86.8396,10.3207,8.7458,7.9451,7.2797,5.7809,2.6617,0.5627,0.0489
9.4834,92.08,92.2044,86.948,10.3521,8.7649,7.965,7.2978,5.7972,2.6717,0.5653,0.049
9.4835,92.0801,92.2046,86.9487,10.3523,8.765,7.9652,7.298,5.7973,2.6718,0.5654,0.049
9.4998,92.0992,92.2373,87.0479,10.3844,8.7841,7.9853,7.3165,5.8141,2.6821,0.568,0.049
9.5798,92.1886,92.3744,87.4439,10.5476,8.8766,8.0857,7.4113,5.8992,2.7365,0.5799,0.0493
9.6575,92.2776,92.4819,87.7446,10.7121,8.9634,8.1854,7.51,5.9825,2.7955,0.5905,0.0497
9.7092,92.3214,92.5438,87.9178,10.8231,9.0179,8.253,7.5794,6.0375,2.8378,0.5971,0.0499
9.7351,92.3432,92.5725,87.9984,10.8789,9.043,8.2871,7.6153,6.0648,2.8597,0.6003,0.05
9.761,92.365,92.5998,88.0755,10.9348,9.102,8.3213,7.652,6.092,2.882,0.6035,0.0501
10.2012,92.7183,92.94,89.1134,11.9188,10.0038,8.9336,8.3178,6.5514,3.2942,0.6614,0.0519
10.2271,92.7381,92.9557,89.1693,11.9795,10.0549,8.9714,8.3544,6.5785,3.318,0.6657,0.052
10.2789,92.7771,92.9862,89.2845,12.1028,10.1567,9.0476,8.4242,6.6329,3.3651,0.6747,0.0522
10.3306,92.8155,93.0159,89.4049,12.2293,10.2579,9.1247,8.4877,6.6877,3.4117,0.6844,0.0525
10.4947,92.9331,93.1066,89.8135,12.6643,10.5749,9.3759,8.64,6.8809,3.5645,0.7224,0.0531
